nombre,domicilio,localidad,cp,longitud,latitud
LOPEZ,AV. LOPEZ Y PLANES 4267,SANTA FE,3000,-60.71369435,-31.62536182
PASTOR,CAP. VIÑAS 154,SAN JOSE DEL RINCON,3001,,
SOLA,SAN MARTIN 1760,SAN JOSE DEL RINCON,3001,-60.57152232,-31.60520212
MAI,ARISTOBULO DEL VALLE 7302,SANTA FE,3000,-60.6919373,-31.60117035
MANSILLA,9 DE JULIO 1181,SANTA FE,3000,-60.71365122,-31.66108112
MARCELO GALIZZI,BLAS PARERA 8894,SANTA FE,3000,-60.72784983,-31.57787743
MARIO MARTINEZ,ARISTOBULO DEL VALLE 4499,SANTA FE,3000,-60.7003349,-31.62643104
MARTINEZ JUAN JOSE,URQUIZA 1859,SANTA FE,3000,-60.71527867,-31.65299707
MAZZALI,JUAN DE GARAY 2915,SANTA FE,3000,-60.71239204,-31.65180231
MENAPACE,BLAS PARERA 7831,SANTA FE,3000,-60.72494561,-31.58951182
MENDEZ,GUEMES 4356,SANTA FE,3000,-60.68677892,-31.63071628
MERCADO CENTRAL,SAN JERONIMO 2179,SANTA FE,3000,-60.70908185,-31.65016762
MONICA WAGNER,MARCIAL CANDIOTI 3895,SANTA FE,3000,-60.69440861,-31.63353906
MONTES,GRAL. PAZ 6765,SANTA FE,3000,-60.67778032,-31.60937396
MORALES,Av. Aristóbulo del Valle 5827,SANTA FE,3000,-60.696639,-31.614672
NAITO,MENDOZA 4098,SANTA FE,3000,-60.72664357,-31.64419457
ORTEGA,BLAS PARERA 8374,SANTA FE,3000,-60.72634912,-31.58350983
PACCE,ARISTBULO DEL VALLE 4900,SANTA FE,3000,-60.69921705,-31.62282528
PARDO,9 DE JULIO 3443,SANTA FE,3000,-60.70606856,-31.63572249
PASTEUR,MARCIAL CANDIOTTI 3499,SANTA FE,3000,-60.69546723,-31.63729328
PEDRO  ANDRS KORNIJUK,AV. FACUNDO ZUVIRIA 5323,SANTA FE,3000,-60.70544709,-31.61739533
PEIRO,AV. FACUNDO ZUVIRIA 6253,SANTA FE,3000,-60.70415069,-31.60868109
PELLEGRINI,BOULEVARD PELLEGRINI 3465,SANTA FE,3000,-60.71441632,-31.63325626
PESCETTI,PADRE GENESIO 1830,SANTA FE,3000,-60.6842863,-31.601801
SEN,SALVADOR DEL CARRIL 1672,SANTA FE,3000,-60.6879182,-31.62017035
RANZUGLIA,BLAS PARERA 9278,SANTA FE,3000,-60.72875169,-31.57449522
RITA MARTINEZ,AV. ARISTOBULO DEL VALLE 10396,SANTA FE,3000,-60.69006674,-31.57128372
ROJAS,BLAS PARERA 7202,SANTA FE,3000,-60.72319805,-31.59553382
ROJAS SOTELO,ALVEAR 6303,SANTA FE,3000,-60.68902834,-31.61143119
FARMACIA SANTA FE,Calle Saavedra 1822,SANTA FE,3000,-60.7179652,-31.6530133
SANTIAGO,NECOCHEA 4162,SANTA FE,3000,-60.69259872,-31.63135359
FARMACIA SANTIVAÑEZ,ESTANISLAO ZEBALLOS 4453,SANTA FE,3000,-60.718518,-31.6003405
BIELER,IGNACIO CRESPO 1001,RECREO,3018,-60.73307701,-31.49335697
LEDESMA,CRESPO Y MITRE,RECREO,3018,-60.7325466,-31.49223098
STRICKER,LAS HERAS 3844,SANTA FE,3000,-60.69666975,-31.633552
SUPPO,ARISTOBULO DEL VALLE 6897,SANTA FE,3000,-60.69259606,-31.60490867
THEILLER,GRAL. PAZ 5773,SANTA FE,3000,-60.68402495,-31.61762248
THROENDLY,BLAS PARERA 8235,SANTA FE,3000,-60.72590754,-31.58545707
TRUCCO,LAS HERAS 4501,SANTA FE,3000,-60.69489182,-31.62757888
WAGNER BURGUES,RIVADAVIA 3298,SANTA FE,3000,-60.70178907,-31.63831835
UGOLINI,GORRITTI 4449,SANTA FE,3000,-60.71416792,-31.58562712
VALETTI,GRAL.PAZ 6440,SANTA FE,3000,,
VERONICA CANO,SUIPACHA 2912,SANTA FE,3000,-60.7085925,-31.63917267
